user	id	name	n_total	n_matched	followers
unclassifiedofficial	0K7eJJa4mjtkp8pcBhvtpR	Need to Know: Vivaldi	50	48	21864
iloveplaylists	1NNYUduxzrtLDYoyTjAMmW	Je n'aime pas le Classique	50	29	10394
mejoresplaylistsspotify	2FfAi71dM3LJ9UwghwxEtF	Sleep Time	88	14	12136
sonyclassicalbenelux	2MGfLgZXgSXDsYN3CzaNps	Werken met Klassiek	40	17	2046
spotify	37i9dQZF1DWSMyxanxz54I	Jean Sibelius - Composer Weekly #005	30	28	4529
spotify	37i9dQZF1DWSPYCQqDPtY7	Spotify Orchestra: Double Bass	50	16	5506
spotify	37i9dQZF1DWSXyN2w7ILMl	Peaceful Choral Music by Living Composers	50	16	53696
spotify	37i9dQZF1DWTZaA3VFnR5i	Classical World: UK & Ireland	50	27	4057
spotify	37i9dQZF1DWUL3kA2TtHbs	Classical World: Finland	30	14	1670
spotify	37i9dQZF1DWUPafHP1BJw1	Pop Goes Classical	60	0	62330
spotify	37i9dQZF1DWUfMnnPBigKP	Symphony of the Winds	50	20	10180
spotify	37i9dQZF1DWV0gynK7G6pD	Classical New Releases: Spotify Picks	50	27	317343
spotify	37i9dQZF1DWVQTBWd2FvK6	Spotify Orchestra: Viola	50	23	8387
spotify	37i9dQZF1DWVfS4Cdd3PNf	Opera 100: Spotify Picks	100	59	122195
spotify	37i9dQZF1DWW97v8hMjYEZ	Classical World: Spain	50	30	9696
spotify	37i9dQZF1DWWEJlAGA9gs0	Classical Essentials	100	72	855523
spotify	37i9dQZF1DWWcdoD971JiK	Art of Fugue	38	23	11855
spotify	37i9dQZF1DWWpvJ8TvRI7m	David Lang - Composer Weekly #061	30	9	2840
spotify	37i9dQZF1DWWusEYOQAF3N	Classical World: Italy	50	25	19184
spotify	37i9dQZF1DWWz5UlCOYxeE	Classical World: Denmark	30	12	1490
spotify	37i9dQZF1DWXBq4mDDFnfA	Classical Guitar 50: Spotify Picks	50	21	65117
spotify	37i9dQZF1DWXMEbgClM8hw	All About That Brass	50	10	19461
spotify	37i9dQZF1DWXXW8bE6k5tq	John Williams' Non-film Music - Composer Weekly #066	30	5	3254
spotify	37i9dQZF1DWXjj6kdiviS0	Baroque 50: Spotify Picks	50	30	110627
spotify	37i9dQZF1DWYMDP0EcdRK6	Classical World: Austria	40	24	3164
spotify	37i9dQZF1DWYZW76Iw4Lij	Medieval 50: Spotify Picks	50	19	42306
spotify	37i9dQZF1DWYi4w24l7FTx	Spotify Orchestra: Cello	50	27	167754
spotify	37i9dQZF1DWYiS8hkmdLyc	Classical World: Belgium & The Netherlands	30	11	1716
spotify	37i9dQZF1DWYtpM7d4h5Xa	Pop Songs Based on Classical Music	100	28	17782
spotify	37i9dQZF1DWZm0IlR3JPVY	Spring Classical	50	29	21564
spotify	37i9dQZF1DWZsmkMiH7wkJ	John Adams - Composer Weekly #067	30	17	1762
spotify	37i9dQZF1DX0CM2xT3aAkN	Essence of the Renaissance	50	21	42956
spotify	37i9dQZF1DX0i61tT0OnnK	Space-themed Classical Music	76	13	121057
spotify	37i9dQZF1DX0ynPp7KaiSY	Winter Classical	50	24	33057
spotify	37i9dQZF1DX10uaP8FoDNe	Minimalism	50	12	87833
spotify	37i9dQZF1DX1uiBEEB5wRG	Piano Transcriptions 50: Spotify Picks	50	30	11699
spotify	37i9dQZF1DX20xDs0SXeZu	Classical Era 50: Spotify Picks	50	37	31671
spotify	37i9dQZF1DX21bRPJuEN7r	Composer Weekly: Roger Quilter	30	14	145489
spotify	37i9dQZF1DX2b0K0xjrlYe	Classical World: Iceland	30	0	6089
spotify	37i9dQZF1DX2jpVXYbZ1Zw	Classical World: Norway	30	7	2455
spotify	37i9dQZF1DX2mmt7R81K2b	Jazz â€“ Classical Crossings	50	5	157209
spotify	37i9dQZF1DX3pxhv0SnNNN	Steve Reich - Composer Weekly #048	30	24	5802
spotify	37i9dQZF1DX43qoHiOOgIz	Classical World: Mexico	40	11	26634
spotify	37i9dQZF1DX4s3V2rTswzO	Classical Romance	100	67	218018
spotify	37i9dQZF1DX561TxkFttR4	88 Keys	88	3	231143
spotify	37i9dQZF1DX5AviTMPF0km	Contemporary Chinese Classical	28	2	17673
spotify	37i9dQZF1DX5hL1aT2vhMb	Women of Classical	50	8	18455
spotify	37i9dQZF1DX6Cc1xytKlor	Classical World: Argentina	30	11	5641
spotify	37i9dQZF1DX6K3W8KBiALe	Classical Moments in Movies	50	25	110904
spotify	37i9dQZF1DX6Oqe1LC2A2s	Next Classical	50	15	34782
spotify	37i9dQZF1DX6gv78LyipEI	Classical World: Australia & New Zealand	30	2	1535
spotify	37i9dQZF1DX6lFrpdIb4I8	Avant-garde 50: Spotify Picks	50	11	14060
spotify	37i9dQZF1DX72wg2crHeWu	30 Before 20: Masterworks by Teenagers	30	19	7948
spotify	37i9dQZF1DX75gMjYMWCsk	Queer Composers	50	20	7322
spotify	37i9dQZF1DX77PFyUDrf10	Classical World: Canada	30	5	2391
spotify	37i9dQZF1DX7TvcXU5TLWg	Spotify Orchestra: Violin	100	59	85618
spotify	37i9dQZF1DX7cBprxbt1Fn	Gentle Classical: From Dusk till Dawn	100	63	191505
spotify	37i9dQZF1DX7dzHXrANAir	Classical X	50	5	34928
spotify	37i9dQZF1DX8GBmCO89g8U	Electroacoustic 50: Spotify Picks	50	15	10223
spotify	37i9dQZF1DX8ONeLSIu0Ai	Modernism 50: Spotify Picks	50	34	13990
spotify	37i9dQZF1DX8qDhzfjyTN6	Romantic Era 50: Spotify Picks	50	39	94002
spotify	37i9dQZF1DX9CrmarDZuOr	Classical World: Sweden	30	11	2386
spotify	37i9dQZF1DX9G9wwzwWL2k	Epic Classical	100	62	385079
spotify	37i9dQZF1DX9OZisIoJQhG	Morning Classical	50	36	37128
spotify	37i9dQZF1DX9kBfhl09Oll	Classical World: Brazil	30	7	3575
spotify	37i9dQZF1DX9uCW6Pqg2WK	Classical World: Germany	40	27	3432
spotify	37i9dQZF1DXaQeL9mwtfsG	70 After 70: Creativity & Longevity	70	32	2039
spotify	37i9dQZF1DXaSipEWiHbyL	Classical World: USA	80	47	4683
spotify	37i9dQZF1DXabrEiRjQMgs	Classical Dance Music: Ballet & Beyond	50	32	115493
spotify	37i9dQZF1DXah8e1pvF5oE	Piano 100: Spotify Picks	100	66	167284
spotify	37i9dQZF1DXajUXy2f1Dsi	Top Latin Classical	28	9	13333
spotify	37i9dQZF1DXbaZdHeCwl9C	Early Classical	50	37	19089
spotify	37i9dQZF1DXbpxlOC1L1Gi	Classical World: France	50	36	8834
spotify	37i9dQZF1DXbuvjwsGcSq1	Classical Music Explained: Bernstein's Music Lectures & More	100	26	17858
spotify	37i9dQZF1DXc26kXinU9Fn	Jennifer Higdon - Composer Weekly #071	30	5	665
spotify	37i9dQZF1DXcN1fAVSf7CR	Top Classical of 2017	100	60	196519
spotify	37i9dQZF1DXcbK8HZQNxAq	Indie Classical: Composed In 21st Century	50	6	75647
spotify	37i9dQZF1DXdUer5rrvuGS	Classical World: Japan	50	6	15489
spotify	37i9dQZF1DXddGd6mP5X2a	Orchestra 100: Spotify Picks	100	73	49189
sonyclassicalbenelux	76kScrK11CldOFwS2AOHmk	Zomer Klassiekers	52	37	1899
TOTAL	TOTAL	TOTAL	4258	1946	n.a.